Scholarship,Passing,Dependent,Performance,Dropped
yes,yes,independent,no,no
yes,no,dependent,yes,no
no,no,independent,no,no
yes,no,dependent,yes,no
no,yes,dependent,yes,yes
yes,yes,dependent,yes,no
no,yes,dependent,yes,no
yes,yes,dependent,yes,no
no,no,dependent,no,no
no,yes,dependent,yes,no
yes,yes,dependent,yes,no
yes,yes,dependent,no,yes
no,yes,dependent,no,no
yes,yes,dependent,no,no
yes,yes,dependent,yes,no
no,yes,dependent,yes,no
no,yes,dependent,no,no
no,yes,dependent,yes,no
yes,no,dependent,yes,no
no,yes,dependent,yes,no
yes,no,dependent,no,no
no,no,dependent,no,no
yes,yes,dependent,yes,no
no,yes,dependent,yes,no
no,yes,dependent,no,no
yes,yes,dependent,yes,no
yes,yes,dependent,yes,yes
yes,no,independent,no,no
yes,yes,dependent,no,no
yes,yes,dependent,no,no
yes,no,independent,no,yes
yes,no,independent,no,no
yes,no,dependent,no,no
yes,yes,dependent,no,no
yes,yes,dependent,yes,yes
yes,yes,independent,no,no
yes,no,independent,no,no
no,yes,independent,yes,no
no,yes,dependent,no,no
no,yes,dependent,yes,no
